Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CreateProjectNegativeTestSuite,Firefox 89.0,Create Project Negative Test Suite,,2021-07-23 21:18:52,2021-07-23 21:28:35,9m - 43.052s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-24-CreateProjectWithoutFillingNameFieldTestCase,Firefox 89.0,"Create a project without filling the name field.
Expected: Cannot proceed to 2nd page of the setup",create project,2021-07-23 21:18:53,2021-07-23 21:19:58,1m - 5.876s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:18:53,2021-07-23 21:19:26,32.473s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:19:26,2021-07-23 21:19:27,1.173s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:19:27,2021-07-23 21:19:28,1.327s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:19:28,2021-07-23 21:19:29,0.751s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), Timeout)",Firefox 89.0,,,2021-07-23 21:19:29,2021-07-23 21:19:33,4.548s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), DomainText1)",Firefox 89.0,,,2021-07-23 21:19:33,2021-07-23 21:19:45,11.651s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), AddYourKeywordText)",Firefox 89.0,,,2021-07-23 21:19:45,2021-07-23 21:19:46,0.833s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:19:46,2021-07-23 21:19:47,0.931s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 21:19:47,2021-07-23 21:19:47,0.018s,PASSED
"focus(findTestObject(""CreateNewProject/FormPage_1/input_project_name""))",Firefox 89.0,,,2021-07-23 21:19:47,2021-07-23 21:19:47,0.647s,PASSED
delay(7),Firefox 89.0,,,2021-07-23 21:19:47,2021-07-23 21:19:55,7.051s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 21:19:55,2021-07-23 21:19:58,3.874s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-25-CreateProjectWithoutFillingDomainFieldTestCase,Firefox 89.0,"Create a project without filling the domain field.
Expected: Cannot proceed to 2nd page of the setup with relevant error message displayed below the Domain field.",create project,2021-07-23 21:19:58,2021-07-23 21:21:01,1m - 2.127s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:19:59,2021-07-23 21:20:25,26.316s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:20:25,2021-07-23 21:20:36,10.533s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:20:36,2021-07-23 21:20:36,0.603s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:20:36,2021-07-23 21:20:37,0.659s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), Timeout)",Firefox 89.0,,,2021-07-23 21:20:37,2021-07-23 21:20:39,2.358s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_project_name""), ""Sample"")",Firefox 89.0,,,2021-07-23 21:20:39,2021-07-23 21:20:48,8.473s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), """")",Firefox 89.0,,,2021-07-23 21:20:48,2021-07-23 21:20:49,0.917s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), AddYourKeywordText)",Firefox 89.0,,,2021-07-23 21:20:49,2021-07-23 21:20:50,0.779s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:20:50,2021-07-23 21:20:50,0.815s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 21:20:50,2021-07-23 21:20:50,0.019s,PASSED
"focus(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""))",Firefox 89.0,,,2021-07-23 21:20:50,2021-07-23 21:20:51,0.410s,PASSED
delay(7),Firefox 89.0,,,2021-07-23 21:20:51,2021-07-23 21:20:58,7.022s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 21:20:58,2021-07-23 21:21:01,2.702s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-26-CreateProjectWithoutEnteringAnyKeywordsTestCase,Firefox 89.0,"Create a project without entering any keywords.
Expected: Cannot proceed to 2nd page of the setup",create project,2021-07-23 21:21:01,2021-07-23 21:22:11,1m - 9.991s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:21:01,2021-07-23 21:21:25,23.662s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:21:25,2021-07-23 21:21:46,21.251s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:21:46,2021-07-23 21:21:47,0.664s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:21:47,2021-07-23 21:21:47,0.658s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/button_next""), Timeout)",Firefox 89.0,,,2021-07-23 21:21:47,2021-07-23 21:21:51,3.800s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:21:51,2021-07-23 21:22:00,8.598s,PASSED
