Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CreateProjectNegativeTestSuite,Firefox 89.0,Create Project Negative Test Suite,,2021-07-24 07:38:26,2021-07-24 07:54:59,16m - 33.208s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-24-CreateProjectWithoutFillingNameFieldTestCase,Firefox 89.0,"Create a project without filling the name field.
Expected: Cannot proceed to 2nd page of the setup",create project,2021-07-24 07:38:28,2021-07-24 07:40:22,1m - 53.973s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-24 07:38:29,2021-07-24 07:39:27,57.205s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-24 07:39:27,2021-07-24 07:39:44,17.574s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-24 07:39:44,2021-07-24 07:39:46,1.325s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-24 07:39:46,2021-07-24 07:39:47,1.383s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), Timeout)",Firefox 89.0,,,2021-07-24 07:39:47,2021-07-24 07:39:52,4.535s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), DomainText1)",Firefox 89.0,,,2021-07-24 07:39:52,2021-07-24 07:40:04,12.447s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), AddYourKeywordText)",Firefox 89.0,,,2021-07-24 07:40:04,2021-07-24 07:40:08,3.931s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-24 07:40:08,2021-07-24 07:40:11,3.024s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-24 07:40:11,2021-07-24 07:40:11,0.083s,PASSED
"focus(findTestObject(""CreateNewProject/FormPage_1/input_project_name""))",Firefox 89.0,,,2021-07-24 07:40:11,2021-07-24 07:40:13,2.207s,PASSED
delay(3),Firefox 89.0,,,2021-07-24 07:40:13,2021-07-24 07:40:16,3.203s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-24 07:40:16,2021-07-24 07:40:22,5.103s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-25-CreateProjectWithoutFillingDomainFieldTestCase,Firefox 89.0,"Create a project without filling the domain field.
Expected: Cannot proceed to 2nd page of the setup with relevant error message displayed below the Domain field.",create project,2021-07-24 07:40:22,2021-07-24 07:42:09,1m - 47.224s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-24 07:40:23,2021-07-24 07:41:08,45.186s,PASSED
