Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginNegativeTestSuite,,Negative Test Suites,,2021-07-23 15:46:47,2021-07-23 15:47:48,1m - 1.348s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-24-LoginWithUnregisteredEmailTestCase,,Login with Unregistered Email Test Case,login,2021-07-23 15:46:47,2021-07-23 15:47:02,14.394s,FAILED
com.helper.browserhelper.CustomBrowser.openBrowser(),,,,2021-07-23 15:46:48,2021-07-23 15:47:02,13.825s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-25-LoginWithWrongPasswordTestCase,,Login With Wrong Password,login,2021-07-23 15:47:02,2021-07-23 15:47:05,3.486s,FAILED
com.helper.browserhelper.CustomBrowser.openBrowser(),,,,2021-07-23 15:47:02,2021-07-23 15:47:05,3.049s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-12-RegisterWithWrongEmailFormatTestCase,,RegisterWithWrongEmailFormat,register,2021-07-23 15:47:05,2021-07-23 15:47:09,4.169s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:06,2021-07-23 15:47:09,3.715s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-13-RegisterWithPasswordUnder6CharactersTestCase,,RegisterWithPasswordUnderSixCharacters,register,2021-07-23 15:47:09,2021-07-23 15:47:14,4.529s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:10,2021-07-23 15:47:14,4.028s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-14-RegisterWithNameUnder3CharactersTestCase,,RegisterWithNameUnder3CharactersTestCase,register,2021-07-23 15:47:14,2021-07-23 15:47:17,3.085s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:14,2021-07-23 15:47:17,2.481s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-15-RegisterWithInvalidNameFormatTestCase,,"Register With Invalid Name Format.
Expected: Display error message ""The name format is invalid"" below the Name field.",register,2021-07-23 15:47:17,2021-07-23 15:47:19,2.449s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:17,2021-07-23 15:47:19,1.995s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-16-RegisterWithoutAcceptingToSTestCase,,RegisterWithoutAcceptingToSTestCase,register,2021-07-23 15:47:19,2021-07-23 15:47:23,3.807s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:20,2021-07-23 15:47:23,3.253s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-17-RegisterWithNotMatchingPasswordConfirmTestCase,,RegisterWithNotMatchingPasswordConfirmTestCase,register,2021-07-23 15:47:23,2021-07-23 15:47:25,2.204s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:24,2021-07-23 15:47:25,1.757s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-18-RegisterWithoutFillingPasswordConfFieldTestCase,,RegisterWithoutFillingPasswordConfField,register,2021-07-23 15:47:25,2021-07-23 15:47:29,3.109s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:26,2021-07-23 15:47:29,2.573s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-19-RegisterWithNameFieldEmptyTestCase,,RegisterWithNameFieldEmpty,register,2021-07-23 15:47:29,2021-07-23 15:47:32,3.864s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:29,2021-07-23 15:47:32,3.357s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-20-RegisterWithEmailFieldEmptyTestCase,,"Register With Email Field Empty.
Expected: Display error message ""please fill out this field"" on the email field.",register,2021-07-23 15:47:32,2021-07-23 15:47:35,2.840s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:33,2021-07-23 15:47:35,2.297s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-21-RegisterWithPasswordFieldEmptyTestCase,,RegisterWithPasswordFieldEmpty,register,2021-07-23 15:47:35,2021-07-23 15:47:44,8.381s,FAILED
com.helper.browserhelper.CustomBrowser.openRegisterPage(),,,,2021-07-23 15:47:36,2021-07-23 15:47:44,7.924s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-24-LoginWithUnregisteredEmailTestCase,,Login with Unregistered Email Test Case,login,2021-07-23 15:47:44,2021-07-23 15:47:46,2.185s,FAILED
com.helper.browserhelper.CustomBrowser.openBrowser(),,,,2021-07-23 15:47:44,2021-07-23 15:47:46,2.145s,FAILED
,,,,,,,
Test Cases/RegisterAndLogin/Negative/TS-LGN-25-LoginWithWrongPasswordTestCase,,Login With Wrong Password,login,2021-07-23 15:47:46,2021-07-23 15:47:48,2.279s,FAILED
com.helper.browserhelper.CustomBrowser.openBrowser(),,,,2021-07-23 15:47:46,2021-07-23 15:47:48,2.255s,FAILED
